data_document_id,data_document_filename,prod_name,doc_date,rev_num,raw_category,raw_cas,raw_chem_name,report_funcuse,raw_min_comp,raw_max_comp,unit_type,ingredient_rank,raw_central_comp,component
1496645,127.pdf,"127 moly rock drill iso 32, 46, 68, 100, 150, 220 and 320",06/15/2015,1,"water soluble, anti-wear, extreme pressure, emulsifiable oil for rock drills.",127087-87-0,"4-nonylphenol, branched, ethoxylated",,1,5,3,2,,
1496645,127.pdf,"127 moly rock drill iso 32, 46, 68, 100, 150, 220 and 320",06/15/2015,1,"water soluble, anti-wear, extreme pressure, emulsifiable oil for rock drills.",128-39-2,"2,6-di-tert-butylphenol",,0.1 , 1,3,3,,
1496646,128N.pdf,128n odorless sulfurized cutting oil,03/15/2016,1,machining oil with sulfur.,,base oil(s)(*),,90 , 100,3,1,,
1496647,131.pdf,131 neutra fuel stabilizer,05/15/2014,1,"fuel additive for gasoline, diesel and biodiesel fuels.",71-36-3,butan-1-ol,,10 , 30,3,1,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,2,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,1330-20-7,xylene,,10 , 30,3,3,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,64771-72-8,"paraffins (petroleum), normal c5-20",,10 , 30,3,4,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,100-41-4,ethylbenzene,,1,5,3,5,,
1496648,131C.pdf,131c soyultra gasoline additive,05/15/2014,1,gasoline additive.,64742-47-8,"distillates (petroleum), hydrotreated light",,1,5,3,6,,
1496649,131TT.pdf,131tt top tier gasoline additive,05/15/2014,1,gasoline additive.,64771-72-8,"paraffins (petroleum), normal c5-20",,10 , 30,3,1,,
1496649,131TT.pdf,131tt top tier gasoline additive,05/15/2014,1,gasoline additive.,1330-20-7,xylene,,10 , 30,3,2,,
1496649,131TT.pdf,131tt top tier gasoline additive,05/15/2014,1,gasoline additive.,100-41-4,ethylbenzene,,1,5,3,3,,
1496649,131TT.pdf,131tt top tier gasoline additive,05/15/2014,1,gasoline additive.,64742-47-8,"distillates (petroleum), hydrotreated light",,1,5,3,4,,
1496650,132.pdf,132 moly ep oil treatment,12/15/2014,1,engine oil additive for increased viscosity and reduced friction.,,,,,,,,,
1496651,133.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",,base oil(s)(*),,90 , 100,3,1,,
1496651,133.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",9016-45-9,"nonylphenol, ethoxylated",,5 , 8,3,2,,
1496651,133.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",127087-87-0,"4-nonylphenol, branched, ethoxylated",,1 , 1.5,3,3,,
1496652,135.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",,base oil(s)(*),,90 , 100,3,1,,
1496652,135.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",9016-45-9,"nonylphenol, ethoxylated",,5 , 8,3,2,,
1496652,135.pdf,133 spindle cleaning solution 200,03/15/2016,1,"odorless emulsifiable oil, specially formulated to eliminate spindle twist and green stain.",127087-87-0,"4-nonylphenol, branched, ethoxylated",,1 , 1.5,3,3,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,60 , 100,3,1,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,2,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,10 , 30,3,3,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,1,5,3,4,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,5,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,6,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,0.1 , 1,3,7,,
1496653,137.pdf,137 pints diesel treat 2000 ultra low sulfur pints,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,8,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,2,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,3,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,10 , 30,3,4,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,5 , 10,3,5,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,5 , 10,3,6,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,7,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,1,5,3,8,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,9,,
1496654,137B.pdf,137b diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,10,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,1,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,2,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,5 , 10,3,3,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,4,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,5,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,6,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,1,5,3,7,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,8,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,1,5,3,9,,
1496655,137CTPA.pdf,137 ctpa carbon treat premium all-season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,10,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,30 , 60,3,2,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,3,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-(thylhexyl nitrate,,1,5,3,4,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,5,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,6,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,7,,
1496656,137CTPS.pdf,137 ctps carbon treat premium summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,8,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,1,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,30 , 60,3,2,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,3,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,4,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,1,5,3,5,,
1496657,137CTPSC.pdf,137 ctpsc carbon treat premium summer extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,6,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,2,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,3,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,5 , 10,3,4,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,1,5,3,5,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,6,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,7,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,8,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,9,,
1496658,137CTPW.pdf,137 ctpw carbon treat premium winter,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,10,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,1,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,2,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,10 , 30,3,3,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,5 , 10,3,4,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,5 , 10,3,5,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,6,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,7,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,8,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,9,,
1496659,137CTPWC.pdf,137 ctpwc carbon treat premium winter extra cetane,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,10,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,2,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,3,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,5 , 10,3,4,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,5,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,6,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,7,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,96-76-4,"2,4-di-tert-butylphenol",,0.1 , 1,3,8,,
1496660,137ND.pdf,137nd diesel treat 2000 ultra low sulfur,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,9,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,2,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,3,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,5 , 10,3,4,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,1,5,3,5,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,1,5,3,6,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,7,,
1496661,137SUM.pdf,137 sum diesel treat 2000 ultra low sulfur summer,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,8,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,30 , 60,3,1,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,10 , 30,3,2,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,3,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,10 , 30,3,4,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,5 , 10,3,5,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,5 , 10,3,6,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,7,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,1,5,3,8,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,9,,
1496662,137ULSW.pdf,137 ulsw diesel treat 2000 ultra low sulfur winter premium,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,10,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,1,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,10 , 30,3,2,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,178535-25-6,"benzene, ethylenated, residues, distn. lights",,10 , 30,3,3,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,5 , 10,3,4,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,1330-20-7,xylene,,5 , 10,3,5,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,102-25-0,"1,3,5-triethylbenzene",,1,5,3,6,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,1,5,3,7,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,1,5,3,8,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,9,,
1496663,138APA-400.pdf,138apa-400,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,1,5,3,10,,
1496664,138CI.pdf,138ci,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,60 , 100,3,1,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,30 , 60,3,1,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,64742-94-5,"solvent naphtha (petroleum), heavy aromatic",,30 , 60,3,2,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,111-76-2,2-butoxyethanol,,1,5,3,3,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,91-20-3,naphthalene,,1,5,3,4,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,95-63-6,"1,2,4-trimethylbenzene",,1,5,3,5,,
1496665,138SPA-400.pdf,138 spa - 400 premium summer,010/09/2015,1,fuel additive for diesel and biodiesel fuels.,100-41-4,ethylbenzene,,0.1 , 1,3,6,,
1496666,139A.pdf,139a soyshield all season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,64742-95-6,light aromatic petroleum naphtha,,10 , 30,3,1,,
1496666,139A.pdf,139a soyshield all season,05/15/2014,1,fuel additive for diesel and biodiesel fuels.,27247-96-7,2-ethylhexyl nitrate,,10 , 30,3,2,,
